district,mandal,village,lat,long,date,value
KHAMMAM,Penuballi,Penuballi,80.67,17.21,01/01/23,2.68
KHAMMAM,Penuballi,Tallapenta,80.62,17.23,01/01/23,2.23
KHAMMAM,Raghunadhapalem,Erlapudi,80.27,17.32,01/01/23,6.1
KHAMMAM,Sathupalle,Cherukupalli,80.78,17.26,01/01/23,3.3
KHAMMAM,Sathupalle,Prakashnagar,80.89,17.19,01/01/23,34.9
KHAMMAM,Singareni,Madharam,80.23,17.54,01/01/23,3.38
KHAMMAM,Thallada,Anjanapuram,80.46,17.21,01/01/23,2.55
KHAMMAM,Thallada,Laxmipuram,80.48,17.17,01/01/23,2.84
KHAMMAM,Thirumalayapalem,Kakaravai,79.84,17.31,01/01/23,0.98
KHAMMAM,Thirumalayapalem,Tippareddigudem,79.98,17.37,01/01/23,4.16
KHAMMAM,Thirumalayapalem,Bachode,79.9,17.3,01/01/23,3.6
KHAMMAM,Thirumalayapalem,Tirumalayapalem,80.05,17.32,01/01/23,3.41
KHAMMAM,Vemsoor,Vemsur,80.81,17.14,01/01/23,3.1
KHAMMAM,Vemsoor,Kallurigudem,80.75,17.11,01/01/23,9.66
KHAMMAM,Vemsoor,Kandukuru,80.84,17.07,01/01/23,3.65
KHAMMAM,Wyra,Siripuram,80.48,16.86,01/01/23,2.27
KHAMMAM,Yerrupalem,Banigandlapadu,80.48,16.86,01/01/23,16.8
KHAMMAM,Yerrupalem,Bheemavaram,80.51,16.94,01/01/23,2.48
KUMURAM BHEEM,Asifabad,Asifabad,79.29,19.36,01/01/23,11.4
KUMURAM BHEEM,Asifabad,Kommuguda,79.25,19.39,01/01/23,1.99
