district,mandal,village,lat,long,date,value
JOGULAMBA(GADWAL),Aiza,Ieeza,77.67,16.02,01/06/23,7.29
JOGULAMBA(GADWAL),Itikyal,Kodandapur,77.57,16.25,01/06/23,8.97
JOGULAMBA(GADWAL),Kaloor_Timmanadoddi,Kondapur,77.83,16.07,01/06/23,3.64
JOGULAMBA(GADWAL),Kaloor_Timmanadoddi,Kuchinerla,77.53,16.18,01/06/23,1.54
JOGULAMBA(GADWAL),Maldakal,Maldakal,77.69,16.13,01/06/23,2.13
JOGULAMBA(GADWAL),Manopad,Manopad,77.95,15.97,01/06/23,6.13
JOGULAMBA(GADWAL),Undavelli,Pullur,78.01,15.92,01/06/23,20.96
JOGULAMBA(GADWAL),Undavelli,Undavally,78.04,15.93,01/06/23,6.61
JOGULAMBA(GADWAL),Waddepalle,Santhinagar,77.84,15.94,01/06/23,1.97
KAMAREDDY,Banswada,Bansawada,77.88,18.39,01/06/23,7.76
KAMAREDDY,Banswada,Budimi,77.89,18.34,01/06/23,1.94
KAMAREDDY,Bhiknur,Bhiknoor,78.4,18.2,01/06/23,5.92
KAMAREDDY,Bhiknur,Issannapally,78.48,18.14,01/06/23,8.4
KAMAREDDY,Bhiknur,P.D.Mallareddy,78.45,18.17,01/06/23,24
KAMAREDDY,Bibipet,Bibipet,78.52,18.21,01/06/23,16.26
KAMAREDDY,Bichkunda,Pulkal,77.77,18.4,01/06/23,4.27
KAMAREDDY,Birkoor,Birkur,77.8,18.47,01/06/23,9.97
KAMAREDDY,Domakonda,Domakonda,78.44,18.25,01/06/23,17.61
KAMAREDDY,Gandhari,Gandhari,78.11,18.4,01/06/23,15.47
KAMAREDDY,Gandhari,Ramlaxmanpally,78.13,18.32,01/06/23,17.75
KAMAREDDY,Gandhari,Sarvapoor,77.99,18.36,01/06/23,15.63
KAMAREDDY,Jukkal,Jukkal,77.6,18.36,01/06/23,4.35
KAMAREDDY,Jukkal,Savargao,77.65,18.32,01/06/23,3.94
KAMAREDDY,Kamareddy,Adloor,78.34,18.34,01/06/23,14.63
KAMAREDDY,Kamareddy,Narasannapally,78.36,18.27,01/06/23,14.9
KAMAREDDY,Lingampet,Bhavanipet,78.06,18.28,01/06/23,7.88
KAMAREDDY,Lingampet,Khannapur,78.16,18.19,01/06/23,14.77
KAMAREDDY,Lingampet,Mothe,78.17,18.31,01/06/23,28.9
KAMAREDDY,Machareddy,Machareddy,78.49,18.33,01/06/23,7.85
KAMAREDDY,Madnur,Menoor,77.65,18.48,01/06/23,7.3
KAMAREDDY,Madnur,SOMUR,77.6,18.42,01/06/23,8.5
KAMAREDDY,Naga_Reddipet,Banjara Thanda,78.08,18.14,01/06/23,10.58
KAMAREDDY,Naga_Reddipet,Malthummeda,78.14,18.11,01/06/23,12.65
KAMAREDDY,Naga_Reddipet,Nasurullabad,77.87,18.47,01/06/23,2.7
KAMAREDDY,Nizamsagar,Achampet,77.93,18.21,01/06/23,8.67
KAMAREDDY,Nizamsagar,Mohammadnagar,77.91,18.29,01/06/23,3.22
KAMAREDDY,Pedda Kodapgal,Shanthapur,77.73,18.33,01/06/23,6.55
KAMAREDDY,Pedda Kodapgal,Maddela Cheruvu,77.85,18.35,01/06/23,10.15
KAMAREDDY,Rajampet,Argonda,78.27,18.23,01/06/23,15.87
KAMAREDDY,Rajampet,Kondapur,78.29,18.18,01/06/23,12.6
KAMAREDDY,Ramareddy,Reddypet,78.42,18.41,01/06/23,12.61
KAMAREDDY,Sadasivanagar,Sadasivanagar,78.26,18.41,01/06/23,12.05
KAMAREDDY,Tadwai,Yerrapahad,78.22,18.29,01/06/23,3.39
KAMAREDDY,Tadwai,Annaram,78.24,18.35,01/06/23,17.03
KAMAREDDY,Yellareddy,Yellareddy,78.02,18.19,01/06/23,15.5
KAMAREDDY,Banswada,HANMAJIPET ,78,18.43,01/06/23,11.38
KAMAREDDY,Bhiknur,KACHAPOOR ,78.45,18.19,01/06/23,14.28
KAMAREDDY,Bhiknur,MALLUPALLY ,78.45,18.16,01/06/23,28.27
KAMAREDDY,Bichkunda,DOULTHAPUR ,77.7,18.38,01/06/23,6.12
KAMAREDDY,Bichkunda,GUNDE NEMLI ,77.81,18.36,01/06/23,
KAMAREDDY,Bichkunda,PD DADGI ,77.74,18.37,01/06/23,18.06
KAMAREDDY,Domakonda,AMBERPET ,78.49,18.26,01/06/23,7.54
KAMAREDDY,Domakonda,ANCHANOOR ,78.46,18.24,01/06/23,22.08
KAMAREDDY,Gandhari,CHADMAL ,78.08,18.46,01/06/23,25.8
KAMAREDDY,Gandhari,GURJAL ,78.14,18.36,01/06/23,23.25
KAMAREDDY,Lingampet,LINGAMPET ,78.13,18.24,01/06/23,2.43
KAMAREDDY,Lingampet,PARMALLA,78.13,18.2,01/06/23,9.41
KAMAREDDY,Machareddy,RAJKHANPET ,78.52,18.36,01/06/23,11.37
KAMAREDDY,Madnur,MADNOOR ,77.63,18.5,01/06/23,7.81
KAMAREDDY,Madnur,RUSEGAON,77.68,18.44,01/06/23,1.33
KAMAREDDY,Naga_Reddipet,WADALPARTHY ,78.15,18.14,01/06/23,18.74
KAMAREDDY,Naga_Reddipet,BOMMADEVPALLY ,77.9,18.47,01/06/23,2.45
KAMAREDDY,Naga_Reddipet,BOPPASPALLY ,77.84,18.49,01/06/23,3.26
KAMAREDDY,Naga_Reddipet,MIRZAPUR ,77.84,18.45,01/06/23,5.34
KAMAREDDY,Nizamsagar,BURGUL ,77.94,18.26,01/06/23,4.12
KAMAREDDY,Nizamsagar,NARVA ,77.97,18.26,01/06/23,1.98
KAMAREDDY,Nizamsagar,VELGANOOR ,77.87,18.2,01/06/23,13.56
KAMAREDDY,Pedda Kodapgal,CHILLARGI ,77.83,18.29,01/06/23,16.23
KAMAREDDY,Pedda Kodapgal,GODMAGAON ,77.76,18.23,01/06/23,16.42
KAMAREDDY,Pedda Kodapgal,KURTHI / RAMPUR,77.88,18.3,01/06/23,9.45
KAMAREDDY,Pedda Kodapgal,NAGAMPALLY ,77.85,18.25,01/06/23,13.69
KAMAREDDY,Pedda Kodapgal,PITLAM ,77.84,18.23,01/06/23,14.37
KAMAREDDY,Rajampet,SIDDAPOOR ,78.24,18.17,01/06/23,18.94
KAMAREDDY,Ramareddy,DEVANPALLE ,78.44,18.33,01/06/23,13.93
KAMAREDDY,Sadasivanagar,PADMAJI WADA ,78.24,18.43,01/06/23,16.95
KAMAREDDY,Sadasivanagar,UTNOOR ,78.19,18.44,01/06/23,11
KAMAREDDY,Tadwai,KANKAL,78.22,18.34,01/06/23,34.87
KAMAREDDY,Yellareddy,THIMMAREDDY ,78,18.24,01/06/23,14.67
KAMAREDDY,Yellareddy,YELLAREDDY ,78.01,18.2,01/06/23,15.5
KARIMNAGAR,Chigurumamidi,Bommanapalli,79.23,18.21,01/06/23,
KARIMNAGAR,Chigurumamidi,Chigurumamidi,79.15,18.26,01/06/23,10.81
KARIMNAGAR,Chigurumamidi,Ramancha,79.2,18.24,01/06/23,10.72
KARIMNAGAR,Choppadandi,Rukmapur,79.15,18.53,01/06/23,12.65
KARIMNAGAR,Ellandakunta,Illanthukunta ,79.51,18.3,01/06/23,
KARIMNAGAR,Gangadhara,Burugupally,79.03,18.64,01/06/23,8.43
KARIMNAGAR,Gangadhara,Gangadhara,79.01,18.58,01/06/23,19.65
KARIMNAGAR,Gannervaram,Mylaram,79.078,18.368,01/06/23,9.35
KARIMNAGAR,Huzurabad,Huzurabad,79.41,18.19,01/06/23,6.92
KARIMNAGAR,Jammikunta,Vavilala,79.55,18.4,01/06/23,4.89
KARIMNAGAR,Karimnagar (Rural-I),Nagnur,79.14,18.5,01/06/23,3.3
KARIMNAGAR,Karimnagar,Karimnagar,79.13,18.44,01/06/23,10.55
KARIMNAGAR,Shankarapatnam,Thadikal,79.29,18.31,01/06/23,4.84
KARIMNAGAR,Manakondur,Laxmipur,79.29,18.45,01/06/23,2.43
KARIMNAGAR,Ramadugu,Gundi,79.09,18.62,01/06/23,7
KARIMNAGAR,V_Saidapur,Saidapur,79.31,18.21,01/06/23,6.81
