SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
47,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,27-06-2022 08:30,18.4
48,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,27-06-2022 17:30,9.4
49,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,28-06-2022 08:30,3.4
50,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,03-07-2022 08:30,3
51,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,03-07-2022 17:30,6
52,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,04-07-2022 08:30,25
53,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,05-07-2022 08:30,30
54,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,06-07-2022 08:30,6
55,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,07-07-2022 08:30,40
56,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,08-07-2022 08:30,10
57,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,08-07-2022 17:30,3
58,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,09-07-2022 08:30,10.4
59,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,09-07-2022 17:30,5
60,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,10-07-2022 08:30,40
61,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,10-07-2022 17:30,50
62,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,11-07-2022 08:30,36
63,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,11-07-2022 17:30,25
64,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,12-07-2022 08:30,49
